organization,imei,plate_number,Vehicle Model Year,Vehicle Make,Vehicle Model Name
Cars Taxi,4128,4128,,,
Cars Taxi,80277,80277,,,
Cars Taxi,1960,1960,,,
Cars Taxi,1963,1963,,,
Cars Taxi,1967,1967,,,
Cars Taxi,1971,1971,,,
Cars Taxi,1950,1950,,,
Cars Taxi,1952,1952,,,
Cars Taxi,1957,1957,,,
Cars Taxi,1958,1958,,,
Cars Taxi,1959,1959,,,
Cars Taxi,4145,4145,,,
Cars Taxi,4152,4152,,,
Cars Taxi,25403,25403,,,
Cars Taxi,80244,80244,,,
Cars Taxi,2874,2874,,,
Cars Taxi,2962,2962,,,
Cars Taxi,2831,2831,,,
Cars Taxi,7124,7124,,,
Cars Taxi,1955,1955,,,
Cars Taxi,1970,1970,,,
Cars Taxi,1974,1974,,,
Cars Taxi,2906,2906,,,
Cars Taxi,4072,4072,,,
Cars Taxi,4089,4089,,,
Cars Taxi,4098,4098,,,
Cars Taxi,5583,5583,,,
Cars Taxi,1978,1978,,,
Cars Taxi,2023,2023,,,
Cars Taxi,1999,1999,,,
Cars Taxi,1988,1988,,,
Cars Taxi,4365,4365,,,
Cars Taxi,2001,2001,,,
Cars Taxi,2006,2006,,,
Cars Taxi,1992,1992,,,
Cars Taxi,1979,1979,,,
Cars Taxi,2008,2008,,,
Cars Taxi,2003,2003,,,
Cars Taxi,1985,1985,,,
Cars Taxi,1984,1984,,,
Cars Taxi,2903,2903,,,
Cars Taxi,2900,2900,,,
Cars Taxi,2020,2020,,,
Cars Taxi,4235,4235,,,
Cars Taxi,4249,4249,,,
Cars Taxi,4250,4250,,,
Cars Taxi,1980,1980,,,
Cars Taxi,1987,1987,,,
Cars Taxi,1975,1975,,,
Cars Taxi,2005,2005,,,
Cars Taxi,1976,1976,,,
Cars Taxi,2004,2004,,,
Cars Taxi,1989,1989,,,
Cars Taxi,1995,1995,,,
Cars Taxi,1977,1977,,,
Cars Taxi,1996,1996,,,
Cars Taxi,2002,2002,,,
Cars Taxi,1994,1994,,,
Cars Taxi,1997,1997,,,
Cars Taxi,1981,1981,,,
Cars Taxi,1982,1982,,,
Cars Taxi,2033,2033,,,
Cars Taxi,2045,2045,,,
Cars Taxi,2032,2032,,,
Cars Taxi,2035,2035,,,
Cars Taxi,2007,2007,,,
Cars Taxi,78078,78078,,,
Cars Taxi,1998,1998,,,
Cars Taxi,2015,2015,,,
Cars Taxi,2046,2046,,,
Cars Taxi,2017,2017,,,
Cars Taxi,1854,1854,,,
Cars Taxi,1908,1908,,,
Cars Taxi,2019,2019,,,
Cars Taxi,2022,2022,,,
Cars Taxi,2012,2012,,,
Cars Taxi,25200,25200,,,
Cars Taxi,2813,2813,,,
Cars Taxi,2026,2026,,,
Cars Taxi,2025,2025,,,
Cars Taxi,2027,2027,,,
Cars Taxi,4173,4173,,,
Cars Taxi,4444,4444,,,
Cars Taxi,2029,2029,,,
Cars Taxi,2030,2030,,,
Cars Taxi,2018,2018,,,
Cars Taxi,2010,2010,,,
Cars Taxi,2024,2024,,,
Cars Taxi,2917,2917,,,
Cars Taxi,2043,2043,,,
Cars Taxi,2021,2021,,,
Cars Taxi,2016,2016,,,
Cars Taxi,2034,2034,,,
Cars Taxi,80205,80205,,,
Cars Taxi,4183,4183,,,
Cars Taxi,4348,4348,,,
Cars Taxi,5773,5773,,,
Cars Taxi,4349,4349,,,
Cars Taxi,80475,80475,,,
Cars Taxi,4423,4423,,,
Cars Taxi,2959,2959,,,
Cars Taxi,2852,2852,,,
Cars Taxi,3038,3038,,,
Cars Taxi,2041,2041,,,
Cars Taxi,2036,2036,,,
Cars Taxi,17456,17456,,,
Cars Taxi,2047,2047,,,
Cars Taxi,3021,3021,,,
Cars Taxi,2044,2044,,,
Cars Taxi,7415,7415,,,
Cars Taxi,4343,4343,,,
Cars Taxi,5566,5566,,,
Cars Taxi,4413,4413,,,
Cars Taxi,3023,3023,,,
Cars Taxi,3034,3034,,,
Cars Taxi,3026,3026,,,
Cars Taxi,4443,4443,,,
Cars Taxi,4196,4196,,,
Cars Taxi,5692,5692,,,
Cars Taxi,5682,5682,,,
Cars Taxi,78097,78097,,,
Cars Taxi,3031,3031,,,
Cars Taxi,3022,3022,,,
Cars Taxi,5612,5612,,,
Cars Taxi,5642,5642,,,
Cars Taxi,5603,5603,,,
Cars Taxi,5687,5687,,,
Cars Taxi,4479,4479,,,
Cars Taxi,2013,2013,,,
Cars Taxi,25034,25034,,,
Cars Taxi,78456,78456,,,
Cars Taxi,25004,25004,,,
Cars Taxi,3032,3032,,,
Cars Taxi,3030,3030,,,
Cars Taxi,5614,5614,,,
Cars Taxi,3039,3039,,,
Cars Taxi,5632,5632,,,
Cars Taxi,78443,78443,,,
Cars Taxi,4395,4395,,,
Cars Taxi,25172,25172,,,
Cars Taxi,5539,5539,,,
Cars Taxi,3037,3037,,,
Cars Taxi,3028,3028,,,
Cars Taxi,2014,2014,,,
Cars Taxi,3058,3058,,,
Cars Taxi,3061,3061,,,
Cars Taxi,3062,3062,,,
Cars Taxi,3025,3025,,,
Cars Taxi,3049,3049,,,
Cars Taxi,3053,3053,,,
Cars Taxi,3054,3054,,,
Cars Taxi,3047,3047,,,
Cars Taxi,3055,3055,,,
Cars Taxi,3056,3056,,,
Cars Taxi,3057,3057,,,
Cars Taxi,3041,3041,,,
Cars Taxi,3044,3044,,,
Cars Taxi,3045,3045,,,
Cars Taxi,3040,3040,,,
Cars Taxi,3043,3043,,,
Cars Taxi,3048,3048,,,
Cars Taxi,3051,3051,,,
Cars Taxi,3064,3064,,,
Cars Taxi,78458,78458,,,
Cars Taxi,80188,80188,,,
Cars Taxi,3046,3046,,,
Cars Taxi,3052,3052,,,
Cars Taxi,1969,1969,,,
Cars Taxi,2753,2753,,,
Cars Taxi,80177,80177,,,
Cars Taxi,17427,17427,,,
Cars Taxi,66230,66230,,,
Cars Taxi,2861,2861,,,
Cars Taxi,1646,1646,,,
Cars Taxi,78130,78130,,,
Cars Taxi,21505,21505,,,
Cars Taxi,1860,1860,,,
Cars Taxi,1504,1504,,,
Cars Taxi,5661,5661,,,
Cars Taxi,80259,80259,,,
Cars Taxi,25111,25111,,,
Cars Taxi,76429,76429,,,
Cars Taxi,1602,1602,,,
Cars Taxi,5656,5656,,,
Cars Taxi,1814,1814,,,
Cars Taxi,2039,2039,,,
Cars Taxi,1761,1761,,,
Cars Taxi,48517,48517,,,
Cars Taxi,7256,7256,,,
Cars Taxi,7350,7350,,,
Cars Taxi,7369,7369,,,
Cars Taxi,5949,5949,,,
Cars Taxi,5995,5995,,,
Cars Taxi,7425,7425,,,
Cars Taxi,7319,7319,,,
Cars Taxi,7170,7170,,,
Cars Taxi,25097,25097,,,
Cars Taxi,7478,7478,,,
Cars Taxi,5868,5868,,,
Cars Taxi,5841,5841,,,
Cars Taxi,25160,25160,,,
Cars Taxi,25168,25168,,,
Cars Taxi,25091,25091,,,
Cars Taxi,3067,3067,,,
Cars Taxi,3068,3068,,,
Cars Taxi,3071,3071,,,
Cars Taxi,3072,3072,,,
Cars Taxi,3073,3073,,,
Cars Taxi,3074,3074,,,
Cars Taxi,3075,3075,,,
Cars Taxi,3076,3076,,,
Cars Taxi,3078,3078,,,
Cars Taxi,3079,3079,,,
Cars Taxi,3080,3080,,,
Cars Taxi,3081,3081,,,
Cars Taxi,3083,3083,,,
Cars Taxi,3084,3084,,,
Cars Taxi,3085,3085,,,
Cars Taxi,3086,3086,,,
Cars Taxi,21518,21518,,,
Cars Taxi,3092,3092,,,
Cars Taxi,3094,3094,,,
Cars Taxi,3087,3087,,,
Cars Taxi,3095,3095,,,
Cars Taxi,3090,3090,,,
Cars Taxi,3088,3088,,,
Cars Taxi,3091,3091,,,
Cars Taxi,3089,3089,,,
Cars Taxi,3099,3099,,,
Cars Taxi,3100,3100,,,
Cars Taxi,3101,3101,,,
Cars Taxi,3102,3102,,,
Cars Taxi,3103,3103,,,
Cars Taxi,3108,3108,,,
Cars Taxi,3107,3107,,,
Cars Taxi,3110,3110,,,
Cars Taxi,3105,3105,,,
Cars Taxi,3104,3104,,,
Cars Taxi,3098,3098,,,
Cars Taxi,3112,3112,,,
Cars Taxi,3109,3109,,,
Cars Taxi,3111,3111,,,
Cars Taxi,3106,3106,,,
Cars Taxi,3113,3113,,,
Cars Taxi,3114,3114,,,
Cars Taxi,3115,3115,,,
Cars Taxi,3116,3116,,,
Cars Taxi,3117,3117,,,
Cars Taxi,3118,3118,,,
Cars Taxi,3119,3119,,,
Cars Taxi,3120,3120,,,
Cars Taxi,3121,3121,,,
Cars Taxi,3135,3135,,,
Cars Taxi,3122,3122,,,
Cars Taxi,3125,3125,,,
Cars Taxi,3128,3128,,,
Cars Taxi,3129,3129,,,
Cars Taxi,3131,3131,,,
Cars Taxi,3133,3133,,,
Cars Taxi,3136,3136,,,
Cars Taxi,3138,3138,,,
Cars Taxi,3124,3124,,,
Cars Taxi,3126,3126,,,
Cars Taxi,3127,3127,,,
Cars Taxi,3130,3130,,,
Cars Taxi,3132,3132,,,
Cars Taxi,3134,3134,,,
Cars Taxi,3137,3137,,,
Cars Taxi,3139,3139,,,
Cars Taxi,3141,3141,,,
Cars Taxi,3142,3142,,,
Cars Taxi,3145,3145,,,
Cars Taxi,3244,3244,,,
Cars Taxi,3146,3146,,,
Cars Taxi,3155,3155,,,
Cars Taxi,3154,3154,,,
Cars Taxi,3153,3153,,,
Cars Taxi,3150,3150,,,
Cars Taxi,3148,3148,,,
Cars Taxi,3147,3147,,,
Cars Taxi,3152,3152,,,
Cars Taxi,3156,3156,,,
Cars Taxi,3162,3162,,,
Cars Taxi,3161,3161,,,
Cars Taxi,3159,3159,,,
Cars Taxi,3160,3160,,,
Cars Taxi,3163,3163,,,
Cars Taxi,3164,3164,,,
Cars Taxi,3165,3165,,,
Cars Taxi,3166,3166,,,
Cars Taxi,3167,3167,,,
Cars Taxi,3168,3168,,,
Cars Taxi,3170,3170,,,
Cars Taxi,5987,5987,,,
Cars Taxi,4405,4405,,,
Cars Taxi,25176,25176,,,
Cars Taxi,25177,25177,,,
Cars Taxi,3171,3171,,,
Cars Taxi,3173,3173,,,
Cars Taxi,3174,3174,,,
Cars Taxi,3175,3175,,,
Cars Taxi,3254,3254,,,
Cars Taxi,1852,1852,,,
Cars Taxi,80401,80401,,,
Cars Taxi,5754,5754,,,
Cars Taxi,25236,25236,,,
Cars Taxi,25390,25390,,,
Cars Taxi,25391,25391,,,
Cars Taxi,76480,76480,,,
Cars Taxi,1535,1535,,,
Cars Taxi,1611,1611,,,
Cars Taxi,3027,3027,,,
Cars Taxi,5921,5921,,,
Cars Taxi,5790,5790,,,
Cars Taxi,5813,5813,,,
Cars Taxi,5978,5978,,,
Cars Taxi,5923,5923,,,
Cars Taxi,5954,5954,,,
Cars Taxi,5805,5805,,,
Cars Taxi,5964,5964,,,
Cars Taxi,5992,5992,,,
Cars Taxi,7346,7346,,,
Cars Taxi,7435,7435,,,
Cars Taxi,7154,7154,,,
Cars Taxi,7328,7328,,,
Cars Taxi,7053,7053,,,
Cars Taxi,7418,7418,,,
Cars Taxi,78147,78147,,,
Cars Taxi,78082,78082,,,
Cars Taxi,25290,25290,,,
Cars Taxi,1810,1810,,,
Cars Taxi,17334,17334,,,
Cars Taxi,17037,17037,,,
Cars Taxi,7392,7392,,,
Cars Taxi,78090,78090,,,
Cars Taxi,7421,7421,,,
Cars Taxi,17208,17208,,,
Cars Taxi,17155,17155,,,
Cars Taxi,17120,17120,,,
Cars Taxi,17144,17144,,,
Cars Taxi,17170,17170,,,
Cars Taxi,17266,17266,,,
Cars Taxi,17225,17225,,,
Cars Taxi,17140,17140,,,
Cars Taxi,2612,2612,,,
Cars Taxi,48088,48088,,,
Cars Taxi,48777,48777,,,
Cars Taxi,1651,1651,,,
Cars Taxi,21911,21911,,,
Cars Taxi,76498,76498,,,
Cars Taxi,2523,2523,,,
Cars Taxi,17152,17152,,,
Cars Taxi,25030,25030,,,
Cars Taxi,25232,25232,,,
Cars Taxi,25251,25251,,,
Cars Taxi,76485,76485,,,
Cars Taxi,78148,78148,,,
Cars Taxi,78114,78114,,,
Cars Taxi,25340,25340,,,
Cars Taxi,17093,17093,,,
Cars Taxi,25020,25020,,,
Cars Taxi,17035,17035,,,
Cars Taxi,78149,78149,,,
Cars Taxi,17389,17389,,,
Cars Taxi,17033,17033,,,
Cars Taxi,17288,17288,,,
Cars Taxi,21995,21995,,,
Cars Taxi,25038,25038,,,
Cars Taxi,25046,25046,,,
Cars Taxi,25152,25152,,,
Cars Taxi,25244,25244,,,
Cars Taxi,4049,4049,,,
Cars Taxi,78120,78120,,,
Cars Taxi,78480,78480,,,
Cars Taxi,2867,2867,,,
Cars Taxi,25291,25291,,,
Cars Taxi,7255,7255,,,
Cars Taxi,17289,17289,,,
Cars Taxi,17307,17307,,,
Cars Taxi,17370,17370,,,
Cars Taxi,17372,17372,,,
Cars Taxi,17384,17384,,,
Cars Taxi,17388,17388,,,
Cars Taxi,17397,17397,,,
Cars Taxi,17400,17400,,,
Cars Taxi,17414,17414,,,
Cars Taxi,17405,17405,,,
Cars Taxi,17418,17418,,,
Cars Taxi,17421,17421,,,
Cars Taxi,17429,17429,,,
Cars Taxi,17436,17436,,,
Cars Taxi,17440,17440,,,
Cars Taxi,17443,17443,,,
Cars Taxi,17459,17459,,,
Cars Taxi,21607,21607,,,
Cars Taxi,17310,17310,,,
Cars Taxi,17321,17321,,,
Cars Taxi,17324,17324,,,
Cars Taxi,17412,17412,,,
Cars Taxi,17447,17447,,,
Cars Taxi,17451,17451,,,
Cars Taxi,17467,17467,,,
Cars Taxi,21626,21626,,,
Cars Taxi,21621,21621,,,
Cars Taxi,21599,21599,,,
Cars Taxi,17471,17471,,,
Cars Taxi,21590,21590,,,
Cars Taxi,21574,21574,,,
Cars Taxi,25398,25398,,,
Cars Taxi,1024,1024,,,
Cars Taxi,21592,21592,,,
Cars Taxi,21629,21629,,,
Cars Taxi,21608,21608,,,
Cars Taxi,17489,17489,,,
Cars Taxi,17491,17491,,,
Cars Taxi,17493,17493,,,
Cars Taxi,21502,21502,,,
Cars Taxi,21507,21507,,,
Cars Taxi,21509,21509,,,
Cars Taxi,21559,21559,,,
Cars Taxi,21632,21632,,,
Cars Taxi,25123,25123,,,
Cars Taxi,25071,25071,,,
Cars Taxi,25075,25075,,,
Cars Taxi,78137,78137,,,
Cars Taxi,78151,78151,,,
Cars Taxi,78160,78160,,,
Cars Taxi,78162,78162,,,
Cars Taxi,78167,78167,,,
Cars Taxi,25081,25081,,,
Cars Taxi,78403,78403,,,
Cars Taxi,80176,80176,,,
Cars Taxi,80210,80210,,,
Cars Taxi,21527,21527,,,
Cars Taxi,1358,1358,,,
Cars Taxi,21529,21529,,,
Cars Taxi,21523,21523,,,
Cars Taxi,25027,25027,,,
Cars Taxi,21634,21634,,,
Cars Taxi,21541,21541,,,
Cars Taxi,21581,21581,,,
Cars Taxi,25183,25183,,,
Cars Taxi,25375,25375,,,
Cars Taxi,78425,78425,,,
Cars Taxi,78358,78358,,,
Cars Taxi,78390,78390,,,
Cars Taxi,4371,4371,,,
Cars Taxi,78388,78388,,,
Cars Taxi,80387,80387,,,
Cars Taxi,80498,80498,,,
Cars Taxi,21535,21535,,,
Cars Taxi,21544,21544,,,
Cars Taxi,25128,25128,,,
Cars Taxi,25148,25148,,,
Cars Taxi,25059,25059,,,
Cars Taxi,25221,25221,,,
Cars Taxi,25334,25334,,,
Cars Taxi,25368,25368,,,
Cars Taxi,78226,78226,,,
Cars Taxi,48278,48278,,,
Cars Taxi,1052,1052,,,
Cars Taxi,76467,76467,,,
Cars Taxi,78039,78039,,,
Cars Taxi,78067,78067,,,
Cars Taxi,78093,78093,,,
Cars Taxi,78099,78099,,,
Cars Taxi,78109,78109,,,
Cars Taxi,78472,78472,,,
Cars Taxi,80358,80358,,,
Cars Taxi,80431,80431,,,
Cars Taxi,21850,21850,,,
Cars Taxi,4195,4195,,,
Cars Taxi,7168,7168,,,
Cars Taxi,21514,21514,,,
Cars Taxi,21539,21539,,,
Cars Taxi,21567,21567,,,
Cars Taxi,25088,25088,,,
Cars Taxi,21824,21824,,,
Cars Taxi,25225,25225,,,
Cars Taxi,25399,25399,,,
Cars Taxi,21641,21641,,,
Cars Taxi,21658,21658,,,
Cars Taxi,78302,78302,,,
Cars Taxi,78164,78164,,,
Cars Taxi,78251,78251,,,
Cars Taxi,66407,66407,,,
Cars Taxi,78471,78471,,,
Cars Taxi,48569,48569,,,
Cars Taxi,80206,80206,,,
Cars Taxi,80479,80479,,,
Cars Taxi,4382,4382,,,
Cars Taxi,80500,80500,,,
Cars Taxi,3066,3066,,,
Cars Taxi,4363,4363,,,
Cars Taxi,21651,21651,,,
Cars Taxi,78346,78346,,,
Cars Taxi,3213,3213,,,
Cars Taxi,78119,78119,,,
Cars Taxi,21670,21670,,,
Cars Taxi,21673,21673,,,
Cars Taxi,78232,78232,,,
